epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6623.3,1.10924,1.16225,1.40685,0.84755,0.76124,0.83874,0.62973,0.97324,0.85969,1.29714,0.005842,0.005842,0.005842
44,6776.81,1.09659,1.14639,1.39642,0.84545,0.75308,0.8363,0.63035,0.97003,0.84816,1.29118,0.005743,0.005743,0.005743
45,6930.64,1.09838,1.147,1.39921,0.8279,0.77404,0.83993,0.62977,0.97083,0.84644,1.29454,0.005644,0.005644,0.005644
46,7085.04,1.08914,1.13198,1.39764,0.8313,0.77,0.83841,0.62994,0.97257,0.84523,1.29513,0.005545,0.005545,0.005545
47,7238.65,1.08351,1.11855,1.38879,0.84279,0.779,0.84391,0.63151,0.97196,0.83086,1.28825,0.005446,0.005446,0.005446
48,7392.94,1.08127,1.12133,1.39059,0.82237,0.78037,0.84098,0.63451,0.96343,0.83191,1.28579,0.005347,0.005347,0.005347
49,7546.6,1.08773,1.11875,1.39383,0.84205,0.77105,0.84354,0.63381,0.9657,0.8272,1.2849,0.005248,0.005248,0.005248
50,7700.27,1.07666,1.09166,1.38169,0.83621,0.77479,0.84561,0.63719,0.96334,0.82131,1.28351,0.005149,0.005149,0.005149
51,7853.63,1.07067,1.10032,1.38388,0.84067,0.78097,0.84625,0.63772,0.9643,0.81207,1.28686,0.00505,0.00505,0.00505
52,8007.63,1.06594,1.08406,1.37381,0.84281,0.77953,0.84644,0.63889,0.95342,0.80994,1.27509,0.004951,0.004951,0.004951
53,8161.92,1.0678,1.06511,1.37298,0.85774,0.78209,0.85219,0.64272,0.95653,0.80127,1.27462,0.004852,0.004852,0.004852
54,8314.86,1.0747,1.0828,1.38041,0.83503,0.78951,0.85114,0.64436,0.95371,0.79708,1.27419,0.004753,0.004753,0.004753
55,8469.23,1.06007,1.06905,1.36845,0.83469,0.79346,0.85244,0.6444,0.95835,0.79675,1.27452,0.004654,0.004654,0.004654
56,8623.05,1.05609,1.06181,1.36505,0.83733,0.78926,0.84969,0.64288,0.95248,0.79331,1.27198,0.004555,0.004555,0.004555
57,8777.14,1.05473,1.05165,1.36402,0.84804,0.7881,0.84996,0.64672,0.94398,0.78528,1.26603,0.004456,0.004456,0.004456
58,8930.41,1.05898,1.05147,1.36211,0.85132,0.78768,0.85263,0.6459,0.94789,0.78086,1.26853,0.004357,0.004357,0.004357
59,9084.06,1.05171,1.04931,1.3577,0.84025,0.8008,0.85387,0.64827,0.94512,0.77955,1.26655,0.004258,0.004258,0.004258
60,9238.2,1.05214,1.03449,1.35684,0.84566,0.79083,0.85465,0.64933,0.94501,0.77156,1.26604,0.004159,0.004159,0.004159
61,9391.44,1.04139,1.02834,1.35096,0.8555,0.78667,0.85536,0.65025,0.94617,0.76939,1.26252,0.00406,0.00406,0.00406
62,9545.65,1.03854,1.02264,1.34802,0.85776,0.79242,0.85782,0.65488,0.93948,0.76647,1.25783,0.003961,0.003961,0.003961
63,9699.09,1.03488,1.01351,1.34554,0.8521,0.79116,0.85823,0.65393,0.94186,0.76102,1.25897,0.003862,0.003862,0.003862
64,9853.18,1.05283,1.02006,1.35207,0.85663,0.79,0.85945,0.65487,0.94568,0.76125,1.25937,0.003763,0.003763,0.003763
