                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2521,                 1.4702,                 1.5652,                0.83552,                0.75102,                0.82909,                0.61834,                0.98814,                0.90864,                  1.325,               0.006733,               0.006733,               0.006733
                     36,                 1.2496,                 1.4594,                 1.5657,                0.84465,                0.75818,                0.83587,                0.62379,                0.98165,                 0.8932,                 1.3195,               0.006634,               0.006634,               0.006634
                     37,                 1.2409,                 1.4343,                 1.5547,                0.82528,                0.77811,                0.83905,                0.62917,                0.97061,                0.88553,                 1.3122,               0.006535,               0.006535,               0.006535
                     38,                 1.2403,                 1.4412,                 1.5508,                0.83046,                0.76668,                0.83563,                0.62649,                0.97327,                0.87695,                 1.3077,               0.006436,               0.006436,               0.006436
                     39,                 1.2376,                 1.4297,                 1.5509,                0.85826,                 0.7689,                0.84743,                0.63754,                0.96932,                0.86214,                 1.3074,               0.006337,               0.006337,               0.006337
                     40,                 1.2372,                 1.4161,                  1.547,                0.85029,                0.76068,                0.84431,                0.63637,                0.96553,                0.86375,                  1.301,               0.006238,               0.006238,               0.006238
                     41,                 1.2273,                 1.4074,                 1.5384,                0.84839,                0.78134,                0.84834,                0.64006,                0.97089,                0.85409,                 1.3022,               0.006139,               0.006139,               0.006139
                     42,                 1.2228,                 1.3866,                 1.5375,                0.84567,                0.79711,                0.85393,                0.64133,                0.96467,                0.84157,                 1.2952,                0.00604,                0.00604,                0.00604
                     43,                 1.2178,                 1.3909,                 1.5343,                 0.8535,                0.78077,                0.85736,                0.64435,                0.95741,                 0.8334,                 1.2935,               0.005941,               0.005941,               0.005941
                     44,                 1.2222,                 1.3854,                 1.5354,                0.86037,                0.78052,                0.85698,                 0.6486,                 0.9471,                0.82087,                 1.2838,               0.005842,               0.005842,               0.005842
                     45,                 1.2066,                 1.3701,                 1.5245,                0.85478,                0.78609,                0.85413,                0.64273,                0.95861,                0.83015,                 1.2929,               0.005743,               0.005743,               0.005743
                     46,                 1.1991,                 1.3521,                 1.5147,                0.87479,                0.77833,                0.85738,                0.65165,                0.95068,                 0.8179,                 1.2809,               0.005644,               0.005644,               0.005644
